afo-soul-engine  | 2025-12-26 04:52:43,842 - AFO.api.middleware.performance_middleware - INFO - ⚠️ WARNING: Slow endpoint - GET /health took 1641.87ms (threshold: 1000ms)
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | 2025-12-26 04:52:49,386 - httpx - INFO - HTTP Request: GET http://host.docker.internal:11434/api/tags "HTTP/1.1 200 OK"
afo-soul-engine  | 2025-12-26 04:52:51,008 - AFO.api.middleware.performance_middleware - INFO - ⚠️ WARNING: Slow endpoint - GET /health took 1644.37ms (threshold: 1000ms)
afo-soul-engine  | INFO:     127.0.0.1:44936 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:18092 - "GET /metrics HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | 2025-12-26 04:52:57,655 - httpx - INFO - HTTP Request: GET http://host.docker.internal:11434/api/tags "HTTP/1.1 200 OK"
afo-soul-engine  | 2025-12-26 04:52:59,265 - AFO.api.middleware.performance_middleware - INFO - ⚠️ WARNING: Slow endpoint - GET /health took 1633.91ms (threshold: 1000ms)
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:45238 - "GET /metrics HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | 2025-12-26 04:53:05,928 - httpx - INFO - HTTP Request: GET http://host.docker.internal:11434/api/tags "HTTP/1.1 200 OK"
afo-soul-engine  | 2025-12-26 04:53:07,543 - AFO.api.middleware.performance_middleware - INFO - ⚠️ WARNING: Slow endpoint - GET /health took 1644.81ms (threshold: 1000ms)
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:64748 - "GET /metrics HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | 2025-12-26 04:53:14,204 - httpx - INFO - HTTP Request: GET http://host.docker.internal:11434/api/tags "HTTP/1.1 200 OK"
afo-soul-engine  | 2025-12-26 04:53:15,818 - AFO.api.middleware.performance_middleware - INFO - ⚠️ WARNING: Slow endpoint - GET /health took 1640.52ms (threshold: 1000ms)
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:45863 - "GET /metrics HTTP/1.1" 200 OK
afo-soul-engine  | 2025-12-26 04:53:21,372 - httpx - INFO - HTTP Request: GET http://host.docker.internal:11434/api/tags "HTTP/1.1 200 OK"
afo-soul-engine  | 2025-12-26 04:53:22,987 - AFO.api.middleware.performance_middleware - INFO - ⚠️ WARNING: Slow endpoint - GET /health took 1649.95ms (threshold: 1000ms)
afo-soul-engine  | INFO:     127.0.0.1:57320 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:55687 - "GET /metrics HTTP/1.1" 200 OK
afo-soul-engine  | 2025-12-26 04:53:29,654 - httpx - INFO - HTTP Request: GET http://host.docker.internal:11434/api/tags "HTTP/1.1 200 OK"
afo-soul-engine  | 2025-12-26 04:53:31,268 - AFO.api.middleware.performance_middleware - INFO - ⚠️ WARNING: Slow endpoint - GET /health took 1644.48ms (threshold: 1000ms)
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
afo-soul-engine  | INFO:     162.159.134.234:42113 - "GET /health HTTP/1.1" 200 OK
